__________________________________________________
idx: 1089-134686-0000
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
40	K	K	K	K	0.99	0.0	0.46
41	IN	IN	IN	null	0.99	0.0	0.79
42	S▁	S▁	S▁	null	0.91	0.0	0.33
43	WERE▁	WERE▁	WERE▁	null	1.0	0.0	1.0
44	IN	IN	IN	null	1.0	0.0	1.0
45	VI	VI	VI	null	0.67	0.0	1.0
46	TED▁	TED▁	TED▁	null	0.63	0.0	0.97
==================================================

__________________________________________________
idx: 8555-284449-0020
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	1.0	0.0	0.99
1	COM	COM	COM	null	0.96	0.0	1.0
2	B	B	B	null	0.98	0.0	0.97
3	IN	IN	IN	null	0.79	0.01	0.34
4	ED▁	DIRECT	AR	DIRECT	0.48	0.99	0.83
5	ED▁	ED▁	ED▁	null	0.75	0.0	1.0
6	B	B	B	null	0.83	0.0	0.98
7	AND	AND	AND	AND	1.0	0.0	0.89
8	S▁	S▁	S▁	null	0.99	0.0	1.0
9	OF▁	OF▁	OF▁	null	0.52	0.0	1.0
10	BO	BO	BO	null	1.0	0.0	1.0
11	TH▁	TH▁	TH▁	null	0.99	0.0	1.0
12	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
13	COUNT	COUNT	COUNT	null	1.0	0.0	1.0
14	RI	RI	RI	null	1.0	0.0	1.0
15	ES▁	ES▁	ES▁	null	0.85	0.0	0.91
16	PLA	PLA	PLA	null	0.99	0.0	1.0
17	Y	Y	Y	null	1.0	0.0	0.88
18	ED▁	ED▁	ED▁	A	1.0	0.0	0.38
19	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
20	MU	MU	MU	null	1.0	0.0	1.0
21	S	S	S	null	1.0	0.0	0.98
22	IC▁	IC▁	IC▁	null	1.0	0.0	0.98
23	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
24	A▁	A▁	A▁	null	1.0	0.0	1.0
25	F	F	F	null	0.94	0.0	1.0
26	INE▁	INE▁	INE▁	null	1.0	0.0	1.0
27	SU	SU	SU	null	0.99	0.0	1.0
28	P	P	P	null	1.0	0.0	0.94
29	PER▁	PER▁	PER▁	null	1.0	0.0	0.8
30	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
31	SE	SE	SE	null	0.99	0.0	0.99
32	R	R	R	null	1.0	0.0	0.85
33	V	V	V	null	1.0	0.0	0.99
34	ED▁	ED▁	ED▁	null	0.59	0.0	0.97
==================================================

__________________________________________________
idx: 8555-292519-0000
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	B	B	B	null	1.0	0.0	0.97
1	RI	RI	RI	null	1.0	0.0	0.66
2	G	G	G	D	0.99	0.0	0.56
3	H	AR	AR	AR	0.54	0.01	0.57
4	TER▁	AR	AR	AR	0.54	0.01	0.57
5	TER▁	▁	▁	R	0.95	0.07	0.23
6	THAN▁	THAN▁	THAN▁	null	1.0	0.0	1.0
7	EARLY▁	EARLY▁	EARLY▁	null	0.93	0.0	0.99
8	DA	DA	DA	null	1.0	0.0	0.96
9	W	W	W	W	0.96	0.0	0.76
10	N	N	N	H	0.38	0.06	0.37
11	S▁	S▁	S▁	'	0.76	0.02	0.46
12	MOST▁	MOST▁	MOST▁	null	1.0	0.0	1.0
13	B	B	B	null	1.0	0.0	0.97
14	RI	RI	RI	null	1.0	0.0	0.51
15	L	L	L	null	0.63	0.0	0.99
16	LI	LI	LI	null	1.0	0.0	0.87
17	ANT▁	ANT▁	ANT▁	null	1.0	0.14	0.59
18	D	DI	DI	null	1.0	0.0	1.0
19	E▁	E▁	E▁	null	0.95	0.0	1.0
20	ARE▁	ARE▁	ARE▁	null	1.0	0.0	1.0
21	BL	BL	BL	null	1.0	0.0	1.0
22	OWN▁	OWN▁	OWN▁	null	0.9	0.0	1.0
23	CL	CL	CL	null	0.99	0.0	1.0
24	EAR▁	EAR▁	EAR▁	null	1.0	0.0	1.0
25	B	B	B	null	0.71	0.0	1.0
26	AND	AND	AND	AND	1.0	0.01	0.8
27	S▁	S▁	S▁	null	0.85	0.0	0.92
28	OF▁	OF▁	OF▁	null	0.7	0.0	0.98
29	CO	CO	CO	null	0.68	0.0	1.0
30	L	L	L	null	1.0	0.0	0.83
31	OR▁	OR▁	OR▁	null	0.91	0.0	0.95
32	THROUGH▁	THROUGH▁	THROUGH▁	null	1.0	0.0	1.0
33	THE▁	THE▁	THE▁	null	0.98	0.0	1.0
34	S	S	S	null	1.0	0.0	1.0
35	K	K	K	null	1.0	0.0	0.97
36	Y▁	Y▁	Y▁	null	0.96	0.0	0.94
37	THAT▁	THAT▁	THAT▁	null	0.8	0.0	1.0
38	S	S	S	null	1.0	0.0	0.99
39	WI	WI	WI	WI	0.98	0.04	0.9
40	R	R	R	null	0.51	0.08	0.54
41	L▁	U	U	U	0.67	0.34	0.69
42	L▁	▁	▁	▁	0.57	0.97	0.66
43	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
44	S	S	S	null	1.0	0.0	1.0
45	WE	WE	WE	null	1.0	0.0	1.0
46	E	E	E	null	0.98	0.0	0.99
47	P▁	P▁	P▁	null	1.0	0.0	0.64
48	AND▁	AND▁	AND▁	null	0.97	0.0	1.0
49	ME	ME	ME	null	1.0	0.0	1.0
50	ET▁	AT▁	AT▁	null	0.42	0.0	1.0
51	TO▁	TO▁	TO▁	null	0.62	0.0	0.99
52	B	B	B	null	1.0	0.0	0.92
53	RE	RE	RE	null	1.0	0.0	0.96
54	A	A	A	null	1.0	0.0	0.95
55	K▁	K▁	K▁	null	1.0	0.0	0.7
56	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
57	FO	FO	FO	null	1.0	0.0	0.98
58	AM▁	AM▁	AM▁	AM▁	1.0	0.01	1.0
59	LIKE▁	LIKE▁	LIKE▁	null	1.0	0.0	0.98
60	RA	RA	RA	null	0.91	0.0	0.99
61	IN	IN	IN	IN	0.93	0.0	0.99
62	BO	BO	BO	DU	0.99	0.66	0.26
63	W▁	U	U	U	0.8	0.54	0.76
64	W▁	▁	▁	▁	1.0	1.0	0.67
65	VE	VE	VE	null	0.99	0.0	0.94
66	I	I	I	I	0.92	0.0	0.65
67	L	L	L	null	0.96	0.0	1.0
68	S▁	S▁	S▁	'	1.0	0.01	0.47
69	UPON▁	UPON▁	UPON▁	null	1.0	0.0	1.0
70	A▁	A▁	A▁	null	1.0	0.0	0.98
71	BU	BU	BU	null	1.0	0.0	0.98
72	B	B	B	B	1.0	0.09	1.0
73	B	OUL	L	OUL	0.93	1.0	0.34
74	LE	OUL	L	OUL	0.93	1.0	0.34
75	LE	D	D	null	0.36	0.0	1.0
76	'	'	'	'	1.0	1.0	0.88
77	S▁	S▁	S▁	null	1.0	0.0	1.0
78	DO	DO	DO	null	1.0	0.0	1.0
79	ME▁	ME▁	ME▁	ME▁	1.0	0.0	0.99
==================================================

__________________________________________________
idx: 8555-292519-0001
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	GU	GU	GU	null	1.0	0.0	0.98
1	I	I	I	null	0.99	0.0	1.0
2	D	D	D	D	1.0	0.0	0.65
3	ED▁	ED▁	ED▁	null	1.0	0.0	0.37
4	BY▁	BY▁	BY▁	null	1.0	0.0	1.0
5	YOU▁	YOU▁	YOU▁	null	0.56	0.0	1.0
6	HOW▁	HOW▁	HOW▁	null	0.96	0.0	1.0
7	WE▁	WE▁	WE▁	null	1.0	0.0	1.0
8	MIGHT▁	MIGHT▁	MIGHT▁	null	0.96	0.0	1.0
9	ST	ST	ST	null	1.0	0.0	0.92
10	RO	RO	RO	RO	1.0	0.0	0.64
11	LL▁	LL▁	LL▁	null	0.52	0.01	0.61
12	TO	TO	TO	null	1.0	0.0	1.0
13	WAR	WAR	WAR	null	0.53	0.0	1.0
14	D	D	D	null	1.0	0.0	1.0
15	S▁	S▁	S▁	'	0.68	0.04	0.7
16	DEATH▁	DEATH▁	DEATH▁	null	0.97	0.0	1.0
17	OUR▁	OUR▁	OUR▁	null	0.98	0.0	1.0
18	ONLY▁	ONLY▁	ONLY▁	null	0.94	0.0	1.0
19	MU	MU	MU	null	0.96	0.0	1.0
20	S	S	S	null	0.96	0.0	0.94
21	IC▁	IC▁	IC▁	null	1.0	0.0	0.96
22	ONE▁	ONE▁	ONE▁	null	0.9	0.0	1.0
23	AN	AN	AN	null	1.0	0.0	0.61
24	O	O	O	O	0.59	0.0	0.99
25	'	'	'	'	0.99	0.84	0.97
26	S▁	S▁	S▁	null	1.0	0.0	1.0
27	B	B	B	null	1.0	0.0	0.99
28	RE	RE	RE	null	0.6	0.0	1.0
29	A	A	A	null	0.95	0.0	0.53
30	TH▁	TH▁	TH▁	null	1.0	0.0	0.94
31	THROUGH▁	THROUGH▁	THROUGH▁	null	0.55	0.0	1.0
32	G	G	G	null	1.0	0.0	0.98
33	AR	AR	AR	null	1.0	0.0	0.85
34	D	D	D	null	1.0	0.0	0.72
35	EN	EN	EN	IN	1.0	0.06	0.64
36	S▁	S▁	S▁	null	0.98	0.0	0.62
37	IN	IN	IN	null	0.89	0.0	1.0
38	TI	TI	TI	null	1.0	0.0	0.99
39	M	M	M	null	0.56	0.0	0.95
40	ATE▁	ATE▁	ATE▁	null	1.0	0.0	0.48
41	WITH▁	WITH▁	WITH▁	null	0.99	0.0	1.0
42	HO	HO	HO	null	0.92	0.0	1.0
43	LL	LL	LL	LL	0.71	0.0	0.73
44	Y	AND▁	AND▁	null	0.76	0.0	1.0
45	HO	HA	HA	null	0.95	0.0	0.69
46	C	W	W	LO	0.75	0.0	0.74
47	K	K	K	O	0.88	0.07	0.4
48	S▁	S▁	S▁	HE	0.83	0.07	0.2
49	WHERE▁	WHERE▁	WHERE▁	null	0.98	0.0	1.0
50	SI	SI	SI	null	0.98	0.0	1.0
51	L	L	L	null	0.96	0.0	0.98
52	EN	EN	EN	null	0.69	0.0	0.93
53	T▁	T▁	T▁	null	1.0	0.0	0.96
54	PO	PO	PO	null	1.0	0.0	1.0
55	P	P	P	P	0.95	0.01	0.94
56	PI	Y	Y	Y	1.0	0.49	0.71
57	PI	UG	S▁	UG	0.42	0.91	0.42
58	ES▁	AR	E▁	AR	0.4	0.98	1.0
59	ES▁	▁	▁	U	0.7	0.24	0.4
60	BU	BU	BU	null	0.94	0.0	1.0
61	R	R	R	null	0.99	0.0	0.99
62	N▁	NED▁	NED▁	null	0.97	0.0	0.98
63	BETWEEN▁	BETWEEN▁	BETWEEN▁	null	1.0	0.0	1.0
64	THE▁	THE▁	THE▁	null	1.0	0.0	0.97
65	RO	RO	RO	null	0.83	0.0	0.99
66	C	C	C	C	1.0	0.0	0.61
67	K	K	K	null	1.0	0.0	0.9
68	S▁	S▁	S▁	null	1.0	0.0	0.73
69	BY▁	BY▁	BY▁	null	0.92	0.0	1.0
70	PO	PO	PO	null	0.99	0.0	1.0
71	O	O	O	O	0.99	0.0	0.91
72	L	L	L	W	0.57	0.02	0.3
73	S▁	S▁	S▁	V	0.73	0.03	0.7
74	WHERE▁	WHERE▁	WHERE▁	null	1.0	0.0	1.0
75	B	B	B	null	1.0	0.0	1.0
76	IR	IR	IR	IR	1.0	0.0	0.82
77	CH	CH	CH	null	0.64	0.12	0.79
78	ES▁	ES▁	ES▁	I	0.97	0.03	0.34
79	B	BEEN▁	BEEN▁	null	0.94	0.0	1.0
80	TO▁	TO▁	TO▁	null	1.0	0.0	0.99
81	CON	CON	CON	null	1.0	0.0	1.0
82	FI	FI	FI	FI	1.0	0.0	0.99
83	D	D	D	null	0.97	0.0	0.56
84	AN	ENCE▁	ENCE▁	UN	0.79	0.0	0.49
85	ABOVE▁	ABOVE▁	ABOVE▁	null	1.0	0.0	0.99
86	G	G	G	null	1.0	0.0	0.94
87	RE	RE	RE	null	0.74	0.0	0.95
88	EN▁	EN▁	EN▁	null	1.0	0.0	1.0
89	W	W	W	null	1.0	0.0	1.0
90	AT	AT	AT	null	1.0	0.0	0.66
91	ERS▁	ERS▁	ERS▁	null	0.79	0.0	1.0
92	S	S	S	null	0.96	0.0	1.0
93	CU	CU	CU	CU	0.92	0.0	0.98
94	M	M	M	BE	0.97	0.01	0.5
95	M	B	B	'	0.88	0.35	0.84
96	ED▁	ALL	ED▁	ALL	0.98	1.0	0.14
97	WITH▁	S▁	S▁	null	0.74	0.35	0.97
98	LI	LI	LI	null	0.53	0.0	1.0
99	LY▁	LY▁	LY▁	null	1.0	0.0	1.0
100	PLA	PLA	PLA	null	0.87	0.0	0.98
101	N	N	N	null	1.0	0.0	1.0
102	TS▁	TS▁	TS▁	UN	0.56	0.0	0.5
==================================================

__________________________________________________
idx: 8555-292519-0002
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	VEN	VEN	VEN	null	1.0	0.0	0.56
1	ICE▁	ICE▁	ICE▁	ICE▁	0.97	0.34	0.9
==================================================

__________________________________________________
idx: 8555-292519-0003
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	IN▁	IN▁	IN▁	null	1.0	0.0	0.99
1	A▁	A▁	A▁	null	0.99	0.0	1.0
2	S	S	S	null	1.0	0.0	1.0
3	UN	UN	UN	null	1.0	0.0	1.0
4	SE	SE	SE	null	0.99	0.0	0.87
5	T▁	T▁	T▁	null	0.98	0.01	0.59
6	G	G	G	null	1.0	0.0	0.97
7	L	L	L	null	0.93	0.0	0.97
8	OWING▁	OWING▁	OWING▁	null	0.67	0.0	1.0
9	OF▁	OF▁	OF▁	null	0.98	0.0	1.0
10	C	C	C	null	0.87	0.0	1.0
11	RI	RI	RI	null	1.0	0.02	0.61
12	M	M	M	null	1.0	0.0	0.66
13	SON▁	SON▁	SON▁	null	1.0	0.0	0.63
14	AND▁	AND▁	AND▁	null	0.92	0.0	1.0
15	G	G	G	null	0.92	0.0	0.99
16	OLD▁	OLD▁	OLD▁	null	0.75	0.0	1.0
17	SHE▁	SHE▁	SHE▁	null	0.97	0.0	1.0
18	LI	LI	LI	null	1.0	0.0	0.99
19	ES▁	ES▁	ES▁	null	0.83	0.0	1.0
20	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
21	G	G	G	null	1.0	0.0	1.0
22	LO	LO	LO	null	1.0	0.0	0.88
23	RY▁	RY▁	RY▁	null	0.99	0.0	0.96
24	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
25	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
26	WORLD▁	WORLD▁	WORLD▁	null	1.0	0.0	1.0
27	A▁	A▁	A▁	null	0.92	0.0	1.0
28	BE	BE	BE	null	0.94	0.0	1.0
29	A	A	A	A	1.0	0.0	0.79
30	CH	CH	CH	CH	1.0	0.0	0.93
31	ED▁	ED▁	ED▁	'	0.98	0.23	0.8
32	K	K	K	null	1.0	0.0	1.0
33	IN	IN	IN	null	0.93	0.0	0.97
34	G	G	G	G	0.97	0.0	0.46
35	'	'	'	Y	0.98	0.0	0.25
36	S▁	S▁	S▁	null	1.0	0.0	1.0
37	G	G	G	null	1.0	0.0	1.0
38	AL	AL	AL	AL	0.99	0.0	0.7
39	LE	LE	LE	null	0.7	0.0	0.79
40	Y▁	Y	Y	Y	0.49	0.01	0.83
41	WHOSE▁	E	E▁	E	1.0	0.97	0.3
42	WHOSE▁	G	MAN▁	G	0.43	1.0	0.19
43	WHOSE▁	W	E▁	W	0.92	1.0	0.22
44	SA	H	RY▁	H	0.28	1.0	0.24
45	I	ILL	S▁	ILL	0.83	0.96	0.3
46	S▁	S▁	S▁	null	1.0	0.0	1.0
47	ARE▁	ARE▁	ARE▁	null	0.95	0.0	1.0
48	F	F	F	null	0.99	0.0	0.99
49	U	U	U	U	0.52	0.0	0.56
50	R	R	R	R	0.78	0.0	0.49
51	LED▁	L▁	L▁	L▁	0.51	0.18	0.66
52	WHO▁	WHO▁	WHO▁	null	0.99	0.0	1.0
53	IS▁	IS▁	IS▁	null	0.97	0.0	1.0
54	HU	HU	HU	null	0.81	0.0	1.0
55	NG▁	NG▁	NG▁	null	1.0	0.0	0.99
56	WITH▁	WITH▁	WITH▁	null	1.0	0.0	1.0
57	TA	TA	TA	null	0.91	0.0	0.98
58	PE	PE	PE	PE	0.99	0.06	0.99
59	ST	TER	ES▁	TER	0.9	1.0	0.63
60	ES▁	S▁	S▁	null	0.84	0.0	1.0
61	RI	RI	RI	null	0.99	0.0	1.0
62	CH▁	CH▁	CH▁	null	1.0	0.0	0.93
63	AND▁	AND▁	AND▁	null	0.99	0.0	1.0
64	OLD▁	OLD▁	OLD▁	null	0.93	0.0	1.0
==================================================

__________________________________________________
idx: 8555-292519-0004
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
1	P	P	P	null	0.6	0.0	1.0
2	ITY▁	ITY▁	ITY▁	null	1.0	0.0	0.99
3	THAT▁	THAT▁	THAT▁	null	0.99	0.0	1.0
4	WE▁	WE▁	WE▁	null	1.0	0.0	1.0
5	MUST▁	MUST▁	MUST▁	null	1.0	0.0	1.0
6	COME▁	COME▁	COME▁	null	0.61	0.0	1.0
7	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
8	GO▁	GO▁	GO▁	null	0.99	0.0	1.0
==================================================

__________________________________________________
idx: 8555-292519-0005
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	WHILE▁	WHILE▁	WHILE▁	null	0.96	0.0	1.0
1	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
2	OLD▁	OLD▁	OLD▁	null	1.0	0.0	1.0
3	G	G	G	null	1.0	0.0	0.99
4	OLD▁	OLD▁	OLD▁	null	1.0	0.0	0.99
5	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
6	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
7	MAR	MAR	MAR	null	1.0	0.0	0.99
8	BLE▁	BLE▁	BLE▁	null	0.96	0.0	1.0
9	STA	STA	STA	null	0.79	0.0	1.0
10	Y	Y	Y	null	1.0	0.01	0.67
11	S▁	S▁	S▁	E	0.45	0.08	0.39
12	FOR	FOR▁	FOR▁	null	0.64	0.0	1.0
13	EVER▁	EVER▁	EVER▁	null	1.0	0.0	1.0
14	G	G	G	null	1.0	0.0	0.99
15	LEA	LEA	LEA	null	0.99	0.0	0.99
16	M	M	M	null	1.0	0.0	1.0
17	ING▁	ING▁	ING▁	null	1.0	0.0	0.86
18	ITS▁	ITS▁	ITS▁	null	0.79	0.0	1.0
19	SO	SO	SO	null	0.54	0.0	1.0
20	F	F	F	null	0.85	0.0	0.99
21	T▁	T▁	T▁	null	0.84	0.0	0.99
22	ST	ST	ST	null	0.79	0.0	1.0
23	RO	RO	RO	null	0.87	0.0	0.98
24	NG▁	NG▁	NG▁	null	0.88	0.0	0.99
25	B	B	B	null	0.97	0.0	1.0
26	LA	LA	LA	LA	1.0	0.0	0.57
27	Z	Z	Z	Z	1.0	0.01	0.54
28	E▁	E▁	E▁	OR	0.93	0.01	0.51
29	C	C	C	null	0.86	0.0	1.0
30	AL	AL	AL	null	0.96	0.0	1.0
31	M▁	M▁	M▁	null	0.96	0.0	1.0
32	IN▁	AND▁	AND▁	null	0.9	0.0	1.0
33	EARLY▁	EARLY▁	EARLY▁	null	1.0	0.0	1.0
34	E	E	E	null	0.84	0.0	1.0
35	VEN	VEN	VEN	null	1.0	0.02	0.97
36	ING▁	ING▁	ING▁	null	1.0	0.01	0.9
37	G	G	G	null	0.99	0.0	0.99
38	LOW▁	LOW▁	LOW▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 8555-292519-0006
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	1.0	0.0	0.99
1	P	P	P	null	1.0	0.0	1.0
2	LEA	LEA	LEA	null	0.98	0.0	0.99
3	S	S	S	null	1.0	0.0	1.0
4	ANT▁	ANT▁	ANT▁	IMP	0.81	0.0	0.13
5	GRA	G	G	null	0.94	0.0	1.0
6	VE	RE	RE	null	1.0	0.0	0.49
7	Y	G	Y▁	G	0.64	0.99	0.41
8	AR	AR	AR	AR	0.96	0.02	0.86
9	D▁	AU	D▁	AU	1.0	0.96	0.29
10	▁	R	R	R	0.98	1.0	0.73
11	WITH▁	HI	U	HI	0.44	1.0	0.41
12	S	P	G	P	0.76	0.73	0.56
13	EN	AV	S▁	AV	0.95	0.95	0.23
14	AL▁	AL▁	AL▁	null	0.29	0.0	1.0
15	C	C	C	null	0.56	0.0	1.0
16	Y	Y	Y	Y	1.0	0.03	1.0
17	PRESS	R	R	E	0.67	0.26	0.86
18	PRESS	US▁	US▁	HI	0.98	0.48	0.46
19	T	T	T	null	1.0	0.0	0.89
20	RE	RE	RE	null	0.68	0.0	0.94
21	ES▁	ES▁	ES▁	null	1.0	0.0	0.97
22	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
23	F	F	F	null	0.88	0.0	1.0
24	LO	LO	LO	null	0.99	0.0	1.0
25	W	W	W	null	0.96	0.0	0.92
26	ERS▁	ERS▁	ERS▁	AL	0.94	0.0	0.29
27	IS▁	IS▁	IS▁	null	0.99	0.0	1.0
28	F	F	F	null	1.0	0.0	0.91
29	ILL	ILL	ILL	null	1.0	0.0	0.62
30	ED▁	ED▁	ED▁	null	1.0	0.01	0.63
31	THAT▁	THAT▁	THAT▁	null	1.0	0.0	0.99
32	I▁	I▁	I▁	null	0.99	0.0	1.0
33	MAY▁	MAY▁	MAY▁	null	1.0	0.0	1.0
34	ST	ST	ST	null	1.0	0.0	0.93
35	RO	RO	RO	RO	1.0	0.0	0.56
36	LL▁	LE▁	LE▁	null	0.57	0.0	0.91
37	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
38	ME	ME	ME	null	0.62	0.0	1.0
39	DI	DI	DI	DI	0.91	0.0	0.95
40	T	C	C	null	0.55	0.0	0.51
41	ATION▁	ATION▁	ATION▁	null	0.7	0.01	0.71
42	AT▁	AT▁	AT▁	null	0.87	0.0	1.0
43	MY▁	MY▁	MY▁	null	1.0	0.0	1.0
44	E	E	E	null	1.0	0.0	1.0
45	AS	AS	AS	null	1.0	0.0	0.99
46	E▁	E▁	E▁	null	0.86	0.0	0.99
==================================================

__________________________________________________
idx: 8555-292519-0007
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	IT▁	IT▁	IT▁	null	1.0	0.0	0.99
1	IS▁	IS▁	IS▁	null	1.0	0.0	0.99
2	MY▁	MY▁	MY▁	null	1.0	0.0	1.0
3	HEART▁	HEART▁	HEART▁	null	1.0	0.0	1.0
4	HU	HU	HU	null	0.7	0.0	1.0
5	NG▁	NG▁	NG▁	null	1.0	0.0	0.99
6	IN▁	IN▁	IN▁	null	1.0	0.0	0.99
7	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
8	S	S	S	null	0.51	0.0	1.0
9	K	K	K	null	1.0	0.0	1.0
10	Y▁	Y▁	Y▁	null	0.87	0.0	0.94
11	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
12	NO▁	NO▁	NO▁	null	0.81	0.0	1.0
13	C	C	C	null	0.86	0.0	0.98
14	LO	LO	LO	null	0.88	0.0	1.0
15	U	U	U	null	0.88	0.0	1.0
16	D	D	D	null	0.85	0.0	0.99
17	S▁	S▁	S▁	Z	1.0	0.0	0.49
18	EVER▁	EVER▁	EVER▁	null	1.0	0.0	0.99
19	F	F	F	null	0.53	0.0	0.99
20	LO	LO	LO	LO	1.0	0.0	0.82
21	AT▁	AT▁	AT▁	null	0.71	0.0	0.98
22	BETWEEN▁	BETWEEN▁	BETWEEN▁	null	0.99	0.0	1.0
23	THE▁	THE▁	THE▁	null	0.95	0.0	0.95
24	GRA	GRA	GRA	null	1.0	0.0	1.0
25	VE▁	Y▁	Y▁	null	0.76	0.0	1.0
26	F	F	F	null	1.0	0.0	0.95
27	LO	LO	LO	null	1.0	0.0	0.87
28	W	W	W	null	0.98	0.0	1.0
29	ERS▁	ERS▁	ERS▁	OR	0.99	0.27	0.83
30	AND▁	AND▁	AND▁	null	0.93	0.0	1.0
31	MY▁	MY▁	MY▁	null	0.99	0.0	1.0
32	HEART▁	HEART▁	HEART▁	null	1.0	0.0	1.0
33	ON▁	UN	UN	null	0.66	0.0	0.99
34	HIGH▁	HIGH▁	HIGH▁	null	0.95	0.0	0.71
==================================================

__________________________________________________
idx: 8555-292519-0008
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	OVER▁	OVER▁	OVER▁	null	1.0	0.0	0.96
1	THE▁	THE▁	THE▁	null	0.99	0.0	0.99
2	TRA	TRA	TRA	null	1.0	0.0	1.0
3	C	C	C	null	1.0	0.0	1.0
4	K▁	K▁	K▁	IT▁	1.0	0.02	0.48
5	LI	LI	LI	null	0.89	0.0	0.98
6	NED▁	NED▁	NED▁	NED▁	1.0	0.0	0.99
7	C	C	C	null	1.0	0.0	0.99
8	ITY▁	ITY▁	ITY▁	null	0.88	0.0	0.98
9	ST	ST	ST	null	1.0	0.0	1.0
10	RE	RE	RE	null	1.0	0.0	1.0
11	ET▁	ET▁	ET▁	null	1.0	0.0	0.99
12	THE▁	THE▁	THE▁	null	0.64	0.0	1.0
13	YOUNG▁	YOUNG▁	YOUNG▁	null	1.0	0.0	1.0
14	MEN▁	MEN▁	MEN▁	null	0.79	0.0	1.0
15	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
16	G	G	G	null	0.93	0.0	1.0
17	R	R	R	null	0.98	0.0	0.8
18	IN	UN	UN	UN	0.97	0.0	0.65
19	N	N	N	null	0.98	0.0	0.36
20	ING▁	ING▁	ING▁	IN	0.96	0.02	0.51
21	MEN▁	MAN▁	MAN▁	null	0.78	0.0	1.0
22	PASS	PASS	PASS	null	1.0	0.0	1.0
23	▁	▁	▁	null	0.56	0.0	1.0
==================================================

__________________________________________________
idx: 8555-292519-0009
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	HO	HO	HO	null	0.85	0.0	0.99
1	▁	▁	▁	▁	0.98	0.0	0.99
2	Y	HE▁	HE▁	null	0.98	0.0	1.0
3	SA	SA	SA	null	0.99	0.0	0.97
4	I	I	I	I	0.93	0.0	0.8
5	L	L	L	null	0.97	0.0	0.45
6	S▁	S▁	S▁	'	0.58	0.01	0.41
7	THAT▁	THAT▁	THAT▁	null	0.99	0.0	1.0
8	SE	SE	SE	null	0.77	0.0	1.0
9	E	E	E	null	0.88	0.0	0.99
10	M▁	M▁	M▁	null	1.0	0.0	0.94
11	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
12	W	W	W	null	1.0	0.0	1.0
13	AND	ON	ON	null	0.99	0.0	1.0
14	ER▁	DER▁	DER▁	null	1.0	0.0	1.0
15	IN▁	IN▁	IN▁	null	0.86	0.0	1.0
16	D	D	D	null	0.98	0.0	0.99
17	RE	RE	RE	null	1.0	0.0	0.77
18	AM▁	AM▁	AM▁	null	1.0	0.0	0.76
19	F	F	F	null	1.0	0.0	0.92
20	ILL	ILL	ILL	null	1.0	0.0	0.99
21	ED▁	ED▁	ED▁	null	0.99	0.0	1.0
22	ME	ME	ME	null	1.0	0.0	1.0
23	AD	AD	AD	null	1.0	0.01	1.0
24	O	O	O	null	0.89	0.0	0.51
25	W	W	W	W	1.0	0.07	0.44
26	S▁	S▁	S▁	null	0.99	0.02	0.27
27	SAY▁	SAY▁	SAY▁	null	1.0	0.0	1.0
28	IS▁	IS▁	IS▁	null	0.98	0.0	1.0
29	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
30	S	S	S	null	0.81	0.0	1.0
31	HO	HO	HO	null	0.97	0.0	0.74
32	RE▁	RE▁	RE▁	null	0.84	0.0	0.76
